LO,Cognitive,Affective,Psychomotor,SOLO
"
Describe concepts and fundamentals of deep learning, such as the backpropagation algorithm and adversarial learning.",,Responding,,
"Discern and appreciate various forms of deep neural networks, such as multilayer perceptrons, convolution neural networks and recurrent neural networks.",,-,,
"
Interpret and apply the mathematics of deep learning, such as stochastic optimisation.",,-,,
"
Design deep learning solutions to problems in computer vision, natural language processing and signal processing. Examples are image classification, object detection, sequence modelling and filter design.",,Organization,,
"
Demonstrate the training and deployment of neural networks using a high level programming language.",,Responding,,
"
Appraise critically the sources of information and contents of scientific publications and choose relevant information.",,Responding,,
"
Interpret and summarise the principles, instrumentation, theory, mathematical models, simulation techniques, fabrication and manufacturing techniques related to Microelectromechanical Systems (MEMS) and Organic electronics based devices",,-,,
"
Design and develop simple MEMS devices, organic electronic devices (such as Organic Light Emitting Diode) and theoretical models involving multi physics",,Organization,,
"
Select suitable electronic components and develop simple MEMS or Organic electronic device based systems, evaluate structural and material properties of Micro/Nano devices through simulation studies",,"Responding, Valuing",,
"
Summarise fundamentals of nanotechnology and propose research opportunities in designing Micro technologies",,Valuing,,
"Apply appropriate theories to effectively design solid-state lighting or SSL systems, including the visual and non-visual effects, colour spaces, quality metrics, efficiency, LED characteristics and other aspects such as LED drivers, spectral sensors, smart lighting control and visible light communications of Li-Fi.",,-,,
"
Assess the energy consumption of traditional versus SSL-based lighting approaches",,-,,
"
Design and implement a system to solve a given complex engineering problem in the field of Intelligent lighting control using the knowledge of SSL.",,Organization,,
"
Conduct experiments to investigate various relationships in photometry, radiometry, colour quality, the energy consumption of light sources and the implementation of IoT-based lighting control.",,Organization,,
"
Assess critically the research literature in the field of solid-state lighting to evaluate recent findings and directions in SSL technology",,Valuing,,
