Unit Name,LO ID,Learning outcomes,Verbs identified,Possible SOLO Levels,Possible Bloom's Levels,Describe the mapping process,Discussion Notes,Final SOLO Level,Final Bloom Level,Unit Level Conclusions / Discussion,,,Colour,Meaning,,,,,SOLO Levels,Blooms Levels
,LO4,"Propose a design solution in response to a given scenario through requirements and functional analysis, evaluate that solution from an integrated system perspective.","Propose, Design, Evaluate",-,"Analysing, Evaluating, Creating","These three verbs don't appear in the SOLO sample verbs. In Bloom, Propose is Creating, Design is Evaluating and Creating, and Evaluate is Analysing, Evaluating, Creating. In the context of the sentence, Design does not feel like it is a verb that should be considered when mapping.  As a level 1 unit, Creating feels like too high a level to map too, therefore only considering the verbs Propose and Evaluate, the LO is mapped to Evaluating. Using the Bloom level, the SOLO level is estimated to be Relational.",No SOLO mapping,Relational,Evaluating,,,,,,,,,,,
,LO5,Identify appropriate engineering tools and techniques to develop and validate a solution.,"Identify, Develop, Validate",Unistructural,"Remembering, Understanding, Applying, Analysing, Creating","The verb Validate doesn't appear in any of the sample verbs. Identify is Unistructural (SOLO) and Remembering through Analysing (Bloom). Develop doesn't appear in SOLO, but is Applying and Creating in Bloom. The main purpose of this LO is to Identify tools to do other tasks so emphasis is placed on this verb. Thus this LO is mapped to Unistructural and Understanding.",,Unistructural,Understanding,,,,,,,,,,,
,LO6,Identify the ethical considerations of data collection and analysis in engineering designs that may impact the suitability of solutions.,Identify,Unistructural,"Remembering, Understanding, Applying, Analysing","Identify is the only verb in the sentence and is used in Remembering, Understanding, Analysing and Applying in Bloom's, and Unistructural in SOLO. Thus the LO is mapped to Unistructural and Understanding.","Single verb, mapped to multiple levels, unit context",Unistructural,Understanding,,,,,,,,,,,
,LO7,"Describe project progress and outputs to stakeholders in review meetings, demonstrations and documentation.",Describe,Multistructural,"Remembering, Understanding, Evaluating","Describe is the only verb in the sentence. Describe is Multistructural (SOLO), and Remembering, Understanding and Evaluating (Bloom). LO mapped to Multistructural and Understanding.",,Multistructural,Understanding,,,,,,,,,,,
,LO8,Identify roles and responsibilities within a team and reflect on self and team behaviours that contribute to the successful conduct of a project.,"Identify, Reflect","Unistructural, Extended Abstract","Remembering, Understanding, Applying, Analysing","This LO is a compound sentence with Identify being the operative verb in the first clause and reflect being the operative verb in the second clause. Identify is used in Remembering, Understanding, Analysing and Applying in Bloom's, and Unistructural in SOLO. Reflect is Extended Abstract (SOLO) and does not appear in Blooms. The first clause is fairly simple, but the second clause is more involved. As such I'm inclinded to map the LO more towards the higher end of the taxonomies, this LO is mapped to Relational and Analysing.",Compound sentence,Relational,Analysing,,,,,,,,,,,
ENG1011 - Engineering methods,LO1,Determine reactions and internal member forces in simple truss and beam systems and carry out limit state design to select appropriately sized members.,"Determine, Select","Multistructural, Relational, Extended Abstract","Applying, Analysing, Evaluating","Determine is firmly an evaluation (Bloom) and Multistructural (SOLO) level verb. However, because the LO introduces ""select"" as a second verb (for another clause) which can be a verb for all of the first 5 levels of Bloom, the exact level can be difficult to tell. However, since there is overlap for the most part over evaluating in Bloom and Multistructural in SOLO, this is what i'm inclined to map towards.",,Multistructural,Evaluating,"One clearly good mapping, but a lot of the LOs are hard to classify and more are less fall into similar SOLO/Bloom levels.",,,,,,,,,,
,LO2,"Determine the strength of structural materials to inform engineering designs with considerations to performance, cost, sustainability and societal impact.","Determine, Inform","Multistructural, Extended Abstract",Evaluating,"This one is weird, ""inform"" is used as a verb in the LO sentence, but it isn't exactly the corresponding action/task being performed (which in this case i'm inclined to say ""design""). ""Determine"" and ""Design"" still overlap with one another in evaluating (Bloom), but it's much harder to tell which SOLO level it is as ""Determine"" falls under Multistructural and ""Design"" falls under Extended Abstract. I'm once again inclined to give this Evaluating (Bloom) and Multistructural (SOLO).",,Multistructural,Evaluating,,,,,,,,,,,
,LO3,"Determine the steady-state performance of simple systems involving levers, gears, springs and pulleys using appropriate engineering problem-solving methodologies.",Determine,Multistructural,Evaluating,Determine is the only verb here. So I think this is fairly straightforward and I'm inclined to give is Multistructural (SOLO) and Evaluating (Bloom),,Multistructural,Evaluating,,,,,,,,,,,
,LO4,"Propose concept designs that solve engineering problems and justify finalised design with considerations of key variables, assumptions and system boundaries.","Propose, Justify","Multistructural, Relational, Extended Abstract","Evaluating, Creating","This is a compound sentence with two both Propose and Justify being the action verbs. Whilst, the second part of the sentence is definetely lower in level on the Bloom hierarchy. I think this one is pretty straightfoward for us and we can safely say that this is Extended Abstract (SOLO) and Creating (Bloom)",,Extended Abstract,Creating,,,,,,,,,,,
,LO5,"Identify appropriate engineering tools and techniques to develop, validate and convey designs and solutions.","Identify, Develop, Validate, Convey","Unistructural, Extended Abstract","Remembering, Understanding, Applying, Analysing, Creating","Lots of verbs in this LO, though the Identify verb that comes first apppears to be there to support the second action of ""Develop, validate, convey"". Since develop is the only verb classified and I would argue the highest level in the Bloom hierarchy, I'm inclined to give this one Creating (Bloom) and Extended Abstract (SOLO).",Multiple verbs,Extended Abstract,Creating,,,,,,,,,,,
,LO6,Identify roles and responsibilities within a team and reflect on self and team behaviours that contribute to the successful conduct of a project.," Identify, Reflect","Unistructural, Extended Abstract","Remembering, Understanding, Applying, Analysing","Difficult because it is either clearly Unistructrucal (SOLO) given Identify as the verb or Extended Abstract given Reflect as the verb. Reflect is also Evaluation level in Bloom. However, I think for this case ""Reflect "" is clearly the more pertinent verb as Identify once again is being used to support the action of the ""Reflect"".",,Extended Abstract,Evaluating,,,,,,,,,,,
FIT2085 - Introduction to computer science for engineers,LO1,Translate problem statements into algorithms and implement them in a high level programming language;,"Translate, Implement",Relational,"Understanding, Applying","Translate is Relational (SOLO), and Understaning and Applying (Bloom's). Implement doesn't appear in SOLO and is Understanding in Bloom's. Thus the LO is mapped to Relational and Applying. This feels somewhat wrong though as the SOLO level is relatively 'higher' than the Bloom level. It might be more approproate for the Bloom level to be Analysis or Evaluating.",Mismatched tax levels,Relational,Applying,,,,,,,,,,,
,LO2,"Determine appropriate basic abstract data types, including; stacks, queues, lists, binary trees, priority queues, heaps and hash tables; for specific contexts;",Determine,Multistructural,Evaluating,Determine is Multistructural and Evaluating in Bloom's. LO mapped to Multistructural and Evaluating,,Multistructural,Evaluating,,,,,,,,,,,
,LO3,Theoretically and experimentally evaluate different implementations of basic abstract data types;,Evaluate,-,"Analysis, Evaluating, Creating","Theoretically and experimentally are adverbs and could possibly be changed to verbs for mapping but that hasn't been done in this case. Evaluate doesn't appear in sample SOLO verbs but is Analysing, Evaluating and Creating in Bloom's. Based on the Bloom level and level of the unit, SOLO is estimated to be Relational. Therefore LO is mapped to Relational and Evaluating.",Adverbs,Relational,Evaluating,,,,,,,,,,,
,LO4,Analyse the efficiency of algorithms by determining their best-case and worst-case big-O time complexity;,Analyse,Relational,Analysing,Determining is an adjective but could be changed to a verb for mapping. Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.,,Relational,Analysis,,,,,,,,,,,
,LO5,Work in teams to analyse algorithms and write programs.,"Analyse, Write","Unistructural, Relational","Remembering, Applying, Analysing, Creating","Analyse is Relational and Analysing. Write is Unistructural, and Remembering, Applying and Creating. LO is mapped to Relational and Analysing.",,Relational,Analysis,,,,,,,,,,,
FIT2099 - Object oriented design and implementation,LO1,"Iteratively apply object-oriented design principles to design small to medium-size software systems, using standard software engineering notations, namely UML class diagrams and UML interaction diagrams.","Apply, Design",Relational,"Applying, Evaluating, Creating",Apply is Relational and Applying. Design doesn't appear in SOLO but is Evaluating and Creating in Bloom's. LO mapped to Relational and Evaluating.,,Relational,Evaluating,,,,,,,,,,,
,LO2,"Describe the quality of object-oriented software designs, both in terms of meeting user requirements and the effective application of object-oriented design concepts and principles.",Describe,Multistructural,"Remembering, Understanding, Evaluating","Describe correlates to Multistructural (SOLO) and Remembering, Understanding and Evaluating in Bloom's. LO mapped to Multistructural and Understanding.",,Multistructural,Understanding,,,,,,,,,,,
,LO3,"Apply object-oriented programming constructs, such as abstraction, information hiding, inheritance, and polymorphism, to implement object-oriented designs using a programming language (namely, Java).","Apply, Implement",Relational,Applying,"Implement doesn't appear in SOLO, but is Applying in Bloom's. Apply is Relational and Applying. Thus LO mapped to Relational and Applying",,Relational,Applying,,,,,,,,,,,
,LO4,Apply effective programming strategies to refactor and debug object-oriented implementations systematically and efficiently by using available programming language tools.,"Apply, Refactor, Debug",Relational,Applying,Refactor and Debug have no sample verbs. Apply is Relational and Applying. Thus LO mapped to Relational and Applying,,Relational,Applying,,,,,,,,,,,
,LO5,"Apply principles of software engineering practice to create object-oriented systems with peers using tools including integrated development environments (IDEs), UML drawing tools, and version control systems.",Apply,Relational,Applying,Apply is Relational and Applying. Thus LO mapped to Relational and Applying,,Relational,Applying,,,,,,,,,,,
FIT2004 - Algorithms and data structures,LO1,"Analyse general problem solving strategies and algorithmic paradigms, and apply them to solving new problems;","Analyse, Apply","Analyse -> Relational, Apply->Relational","Analyse->Analysing, Apply->Applying","Solo mapping is obvious here which is Relational. For Blooms level, since analysing level includes applying as well, the mapping would be to Analysing level",,Relational,Applying,,,,,,,,,,,
,LO2,"Prove correctness of programs, analyse their space and time complexities;","Prove, Analyse","Prove->Relational, Apply->Relational","Prove->Evaluating, Analyse->Analysing","Solo mapping to Relational. For Bloom's level, Evaluating level comes after analysing so the final mapping would be to Evaluating",,Relational,Evaluating,,,,,,,,,,,
,LO3,Compare and contrast various abstract data types and use them appropriately;,"Compare, Contrast, use","Compare-> Relational, contrast->Relational, use->Relational","Compare->Understanding, analysing, evaluating, Contrast->understanding, analysing, evaluating, use->Applying","Solo mapping is obvious here which is Relational. Four levels for Blooms are present here which are one after the other in the hierarchial order. Therefore, we would take the highest level which is the evaluating level.",,Relational,Evaluating,,,,,,,,,,,
,LO4,Develop and implement algorithms to solve computational problems.,"Develop, implement, solve","Develop->None, implement->None, Solve(Solve a problem)->evaluating","Develop->Applying, Creating, implement->Applying, Solve->applying, analysing","The mapping to SOLO here is a bit complicated because none of the three words directly exist in the taxonomy table. The closest mapping was for Solve a problem which mapped to Relational. For Bloom's mapping, all three verbs map to Applying so the most ideal mapping here would be to Applying",,Relational,Applying,,,,,,,,,,,
FIT2107 - Software quality and testing,LO1,"Identify appropriate quality goals for a moderately-sized software development project, including human aspects and security concerns, select an appropriate quality assurance strategy to give confidence that these quality goals can be achieved, and document this strategy appropriately in the context of a software process model;","Identify, select, document","Identify->unistructural, select->multistructural, document-> None","identify-> Remembering, understanding, applying, analysing, Select->Remembering, understanding, applying, analysing, evaluating, Document-> None ","Multistrucural is ideal here for the SOLO mapping. For Bloom's mapping, evaluating is better here because it is the highest level identified here.",,Multistructural,evaluating,,,,,,,,,,,
,LO2,Apply quality assurance techniques such as modern code reviews to code development artefacts;,Apply,Apply->Relational,Apply->Applying,Mapping here is straightforward.,,Relational,Applying,,,,,,,,,,,
,LO3,"Perform systematic, automated unit testing on source code modules, using both specification-based and code-based approaches, utilising automated testing frameworks, including faking and mocking tools;","Perform, utilising","Perform (perform serial skills)-> Multistructural, utilising->None","Perform->Creating, Utilising->Applying","SOLO mapped to Multistructural. For Blooms mapping, Creating doesn't seem appropriate for this level unit and looking at the SOLO level as well, it is more towards Applying level.",,Multistructural,Applying,,,,,,,,,,,
,LO4,"Perform integration and system testing on a moderately-sized software system, using continuous integration frameworks and tracing tests back to requirements;","Perform, Using","Perform (perform serial skills)-> Multistructural, Using->Relational","Perform->Creating, Using->Applying","SOLO level more towards multistructural as relational doesn't seem to be needed here. Creating doesn't seem appropriate for this level unit and looking at the SOLO level as well, it is more towards Applying level.",,Multistructural,Applying,,,,,,,,,,,
,LO5,"Select appropriate tools to collect metrics, including test coverage, reliability, and design quality metrics, to analyse the quality of a software development project, and make recommendations based on the results;","Select, include, analyse, make","select->Multistructural, include-> None, analyse->Relational, make(make a plan)->Relational","select->Remembering, understanding, applying, analysing, evaluating, include->None, analyse->analysing, make->Creating","For Solo level, it is more towards relational because two of the three verbs map to Relational. For Blooms, the outcome is towards Creating because the select verb has all the levels and make adds the last level so creating is appropriate",,Relational,Creating,,,,,,,,,,,
FIT3159 - Computer architecture,LO1,Analyse simple logic circuits;,Analyse,Relational,Analysing,Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.,,Relational,Analysing,"All LOs are concise and simply written. This means it may not fully convey expectations to students. In terms of automated mapping, the simple format can be advantageous as the sentences typically start with the verb. But in ambiguous or edge cases where verbs aren't mapped this may make it difficult to accurately map the LO.",,,,,,,,,,
,LO2,Explain and analyse key processor components;,"Explain, Analyse",Relational,"Understanding, Applying, Analysing, Evaluating, Creating","Explain is Relational and Understanding, Applying, Evaluating and Creating. Analyse is Relational and Analysing. Thus mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
,LO3,Explain and analyse computer organisation;,"Explain, Analyse",Relational,"Understanding, Applying, Analysing, Evaluating, Creating","Explain is Relational and Understanding, Applying, Evaluating and Creating. Analyse is Relational and Analysing. Thus mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
,LO4,Write and debug simple assembly language programs;,"Write, Debug",Unistructural,"Remembering, Applying, Creating","No sample verbs for Debug. Write is Unistructural, and Remembering, Applying and Creating. LO mapped to Unistructural and Applying.",,Unistructural,Applying,,,,,,,,,,,
,LO5,Use simulator programs to model computer system components.,"Use, Model",Relational,Applying,Model doesn't appear in samples for either taxonomy. Use is Relational and Applying in Bloom's. Thus mapped to Relational and Applying.,,Relational,Applying,,,,,,,,,,,
FIT3077 - Software engineering: Architecture and design,LO1,Model and design flexible software at the architectural level using various tools and techniques from the requirements;,"Model, Design",-,"Evaluating, Creating","Model doesn't appear in samples for either taxonomy. Design doesn't appear in SOLO, but is Evaluating and Creating in Bloom's. SOLO estimated to be Relational. Thus mapped to Relational and Evaluating.",,Relational,Evaluating,A lot of verbs here that aren't mapped. These verbs appear to be related to software or even communication or professionalism. ,,,,,,,,,,
,LO2,"Analyse, design, and refactor software systems taking into consideration various quality attributes and requirements","Analyse, Design, Refactor",Relational,"Analysing, Evaluating, Creating","Refactor doesn't appear in samples for either taxonomy. Design doesn't appear in SOLO, but is Evaluating and Creating in Bloom's. Analyse is Relational and Analysing. Thus mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
,LO3,Take requirements for systems and develop software designs and architectures following object-oriented principles;,Develop,-,"Applying, Creating",Develop doesn't appear in SOLO but is Applying and Creating in Bloom. SOLO estimated to Relational. LO mapped to Relational and Creating.,,Relational,Creating,,,,,,,,,,,
,LO5,"Evaluate and apply appropriate design patterns, frameworks and architectures in designing software;","Evaluate, Apply",Relational,"Applying, Analysing, Evaluating, Creating","Evaluate doesn't appear in sample SOLO vebs, but is Analysing, Evaluating and Creating in Bloom's. Apply is Relational and Applying. Thus LO mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
,LO6,Justify design decisions in the context of a project and effectively communicate these decisions to project stakeholders,"Justify, Design, Communicate",Relational,"Evaluating, Creating","Communicate doesn't apprear in either sample verbs. Design doesn't appear in SOLO, but is Evaluating and Creating in Bloom's. Design isn't one of the operational verbs in the sentence so it will be disregarded. Justify is Relational and Evaluating. LO mapped to Relational and Evaluating.",,,,,,,,,,,,,,
FIT3170 - Software engineering practice,LO1,Describe industry-standard team-based project management methodologies and apply them across a multi-functional team to achieve optimal project progress,"Describe, apply","Describe->Multistructural, Apply->Relational","Describe->Remembering, understanding, evaluating, Apply-Applying","SOLO mappings include multistructural and relational so it maps to Relational. For Bloom's mapping, the first three levels are there but describe maps to evaluating as well which can be considered inappropriate. So it would map to Applying",,Relational,Applying,,,,,,,,,,,
,LO2,Apply soft skills when engaging stakeholders in a consistent and professional manner to determine functional and non-functional requirements,Apply,Apply->Relational,Apply->Applying,Apply is Relational and Applying. Thus LO mapped to Relational and Applying,,Relational,Applying,,,,,,,,,,,
,LO3,Plan and manage the full range of activities in a software engineering project in accordance with the development methodology,"Plan, manage","plan->extended abstract, manage->Relational","plan->Creating, manage-Evaluating, creating","Ideal mapping would be to extended abstract for SOLO because manage already includes Relational and plan includes extended abstract. For Blooms, the verbs map to evaluating and creating therefore it would map to creating",,Extended abstract,Creating,,,,,,,,,,,
,LO4,Compare and analyse appropriate industry-standard technologies to determine the optimal combination of software required to support project development,"Compare, analyse, determine","Compare-> Relational, analyse->Relational, determine->multistructural","Compare->Understanding, analysing, evaluating, analyse->analysing, determine->Evaluating",Mapping to Relational since it includes multistructural and relational both. Mapping Blooms to Evaluating is ideal here because we got 2 evaluating and 2 analysing so evaluating is more stronger here.,,Relational,Evaluating,,,,,,,,,,,
,LO5,"Assess aspects of quality assurance that are relevant to the context of the project, and evaluate strategies for ensuring quality standards are met for end users","Assess, evaluate, ensuring","Assess-Extended abstract, Evaluate->Extended abstract, Ensure->None","Assess->Evaluating, Evaluate->Evaluating, Ensure->None",Mapping is clear for Extended abstract and Evaluating,,Extended abstract,Evaluating,,,,,,,,,,,
,LO6,"Deliberate professional issues occurring within the development and deployment of software applications, and identify appropriate actions based on human factors, relevant law and industry codes of ethical behaviour.","Deliberate, identify","deliberate->Extended abstract, identify->unistructural","Deliberate->None, identify-> Remembering, understanding, applying, analysing","Mapping here is clear for Extended abstract and for Blooms, the mapping seems to be more towards analysing because the verb identify includes all the levels from Remembering to analysing.",Is it logical to say that the first verb identified creates the most impact in the mapping?,Extended abstract,Analysing,,,,,,,,,,,
FIT3171 - Databases,LO1,Apply the theories of the relational database model;,Apply,Apply->Relational,Apply->Applying,Clear mapping,,Relational,Applying,,,,,,,,,,,
,LO2,Develop a sound relational database design;,Develop,Develop->None,Develop->Applying,No verb matching for SOLO ,,None,Applying,,,,,,,,,,,
,LO3,Implement a relational database based on a sound database design;,Implement,Implement->None,Implement->Applying,No verb matching for SOLO ,,None,Applying,,,,,,,,,,,
,LO4,"Manage data that meets user requirements, including queries and transactions;",Manage,Manage->Relational,"Manage->Evaluating, Creating","maps to relational and for Blooms, Evaluating seems to be more suitable based on the SOLO mapping that was produced","Mapped the SOLO level first and for blooms, since iit was a bit tricky, used the mapping for SOLO to judge the outcome.",Relational,Evaluating,,,,,,,,,,,
,LO5,Differentiate non-relational database model and the relational database model;,Differentiate,Differentiate->Relational,"Differentiate->Understanding, Analysing","Mapped to relational for SOLO. For Blooms, Analysing seems more appropriate based on the mapping for SOLO",,Relational,Analysing,,,,,,,,,,,
,LO6,Develop programming structures within a database backend.,Develop,Develop->None,"Develop->Applying, Creating","We look at the Blooms mapping first and based on the outcome, Creating seems to be more suitable here. Therefore, the equivalent SOLO level would be Extended abstract",,Extended abstract,Creating,,,,,,,,,,,
FIT4165 - Computer networks,LO1,Analyse critically the network architecture standards for open systems;,Analyse,Relational,Analysing,Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.,,Relational,Analysing,"Verbs here are pretty much same across the board. Makes it easier, but also difficult when mapping. ",,,,,,,,,,
,LO2,Analyse critically and apply the ISO reference and Internet models;,Analyse,Relational,Analysing,Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.,,Relational,Analysing,,,,,,,,,,,
,LO3,"Implement programs using internet working concepts, IP addressing, IPC and socket-level interface;",Implement,-,Applying,"Implement doesn't appear in SOLO sample verbs, but is Applying in Bloom's. SOLO estimated to be Relational. LO mapped to Relational and Applying.",,Relational,Applying,,,,,,,,,,,
,LO4,Analyse critically the fundamentals and technologies of cabled and wireless physical layer;,Analyse,Relational,Analysing,Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.,,Relational,Analysing,,,,,,,,,,,
,LO5,Analyse critically the fundamentals and technologies of cabled and wireless data-link layer;,Analyse,Relational,Analysing,Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.,,Relational,Analysing,,,,,,,,,,,
,LO6,"Analyse critically and implement the fundamentals and technologies of the network layer, including packet-switching and queueing concepts;","Analyse, Implement",Relational,"Applying, Analysing","Implement doesn't appear in SOLO sample verbs, but is Applying in Bloom's. Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.",,Relational,Analysing,,,,,,,,,,,
,LO7,"Analyse critically and implement designs based on the functions and architectures of cabled and wireless LAN and WAN, including ALOHA and CSMA/CD/CA models;","Analyse, Implement",Relational,Analysing,"Implement doesn't appear in SOLO sample verbs, but is Applying in Bloom's. Analyse is Relational and Analysing. Thus mapped to Relational and Analysing.",,Relational,Analysing,,,,,,,,,,,
,LO8,Implement and evaluate system level designs based on LAN architecture for organisational requirements.,"Implement, Evaluate",-,"Applying, Analysing, Evaluating, Creating","Implement doesn't appear in SOLO sample verbs, but is Applying in Bloom's. Evaluate doesn't appear in SOLO sample verbs, but is Analysing, Evaluating and Creating in Bloom's. SOLO estimated to be Relational. LO mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
